시설물분류(대),시설물분류(중),시설물분류(소),공종분류(대),공종분류(중),위험발생객체분류(대),위험발생객체분류(중),위험발생위치분류(대),위험발생위치코드(중),위험발생위치분류(중),위험발생위치분류(소),작업프로세스명,물적피해,인적피해,사고원인,사고가능성,사고심각성,설계단계,시공단계
건축,건축물,교육연구시설,건축,가설공사,가시설,비계,외부,10,비계,상부(위),설치작업,전도,떨어짐(5미터 이상 ~ 10미터 미만),조립불량,H(4),H(4),시스템비계 설치 작업도를 작성하여 시공 시 무너짐 및 작업자 추락 방지,구조검토서에 의한 시스템비계 설치
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,시스템동바리,내부,15,시스템동바리,고소,타설작업,전도,떨어짐(5미터 이상 ~ 10미터 미만),구조검토 미실시,H(4),H(4),구조검토서에 의한 시스템동바리 설치,시스템 동바리 안전작업 지침 준수
건축,건축물,교육연구시설,건축,건축 토공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),설치작업,전도,떨어짐(2미터 이상 ~ 3미터 미만),안전성 미계산,M(3),H(4),흙막이 가시설 안전성 확인,흙막이공사안전보건작업에 관한 기술지침 준수
건축,건축물,교육연구시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,상부(위),굴착작업,없음,떨어짐(2미터 이상 ~ 3미터 미만),추락방지 조치 미흡,M(3),H(4),굴착단부 안전난간 설치,안전대 사용에 관한 기술지침 준수
건축,건축물,교육연구시설,건축,건축 토공사,가시설,띠장,외부,63,띠장,상부(위),용접작업,없음,떨어짐(2미터 이상 ~ 3미터 미만),추락방지 조치 미흡,M(3),H(4),띠장 상부 안전대 부착설비 설치,안전대 사용에 관한 기술지침 준수
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,거푸집,외부,2,거푸집,상부(위),타설작업,전도,깔림,구조검토 미실시,L(2),H(4),거푸집 측압 지지용 플랫타이 설치,거푸집 동바리 구조검토 및 설치 안전보건작업 지침 준수
건축,건축물,교육연구시설,건축,철근콘크리트공사,건설자재,데크플레이트,내부,28,데크플레이트,고소,타설작업,붕괴,떨어짐(분류불능),상세계획 미수립,L(2),H(4),접합부 상세계획 수립,데크플레이트 공법 안전보건작업 지침 준수
건축,건축물,교육연구시설,건축,철골공사,부재,철골부재,지붕,14,철골부재,고소,조립작업,낙하,떨어짐(분류불능),추락방지 미조치,H(4),H(4),철골부재에 안전대 부착설비 설치,안전대 사용에 관한 기술지침 준수
건축,건축물,교육연구시설,건축,가설공사,가시설,비계,내부,10,비계,상부(위),이동,전도,떨어짐(3미터 이상 ~ 5미터 미만),안전조치 부적정,M(3),M(3),이동식비계 조립상세도 작성 및 설치기준 준수,이동식 틀비계 고정스토퍼 설치
건축,건축물,교육연구시설,건축,철근콘크리트공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),고소,양중작업,낙하,깔림,와이어로프 검토미흡,M(3),H(4),공사 중 와이어로프 상태 확인,크레인 달기기구 및 줄걸이 작업용 와이어로프의 작업에 관한 기술지침 준수
건축,건축물,자동차 관련시설,건축,철근콘크리트공사,가시설,시스템동바리,내부,15,시스템동바리,상부(위),설치작업,붕괴,깔림,임의시공 및 안전조치 미흡,M(2),M(4),시스템동바리 구조계산 및 상세도면 작성,재사용 가설기자재 반입 전 성능검사 실시
건축,건축물,자동차 관련시설,건축,철근콘크리트공사,가시설,작업발판,내부,13,작업발판,하부(아래),설치작업,없음,떨어짐(분류불능),작업발판 난간 미설치,M(2),M(4),계단실 작업발판 설치 도면 작성,작업발판 상부에 중량물 적재 금지
건축,건축물,자동차 관련시설,건축,건축 토공사,토사 및 암반,굴착사면,인접주변,217,굴착사면,지하,굴착작업,붕괴,깔림,우수유입 방지대책 미흡,M(2),M(4),배수로 설치도 작성,집수정을 설치하여 유입수 배수조치
건축,건축물,자동차 관련시설,건축,건축 토공사,가시설,흙막이가시설,내부,3,흙막이가시설,지하,이동,없음,떨어짐(분류불능),안전난간 미설치,M(2),M(4),안전난간 설치,수직방망 설치
건축,건축물,자동차 관련시설,건축,건축 토공사,가시설,흙막이가시설,내부,3,흙막이가시설,지하,설치작업,붕괴,깔림,과굴착,M(2),M(4),시공순서도 작성(굴착구배 포함),굴착 순서 준수하여 시공
건축,건축물,자동차 관련시설,건축,건축 토공사,가시설,흙막이가시설,내부,3,흙막이가시설,지하,해체작업,붕괴,깔림,해체순서 미준수,M(2),M(4),흙막이가시설 해체순서도 작성,해체 순서에 따른 콘크리트 타설순서 준수
건축,건축물,자동차 관련시설,기타,기타,가시설,비계,내부,10,비계,상부(위),마감작업,붕괴,떨어짐(분류불능),조립상세도 미준수,M(2),M(4),이동식틀비계 조립상세도 작성,이동식틀비계 고정스토퍼 설치
건축,건축물,자동차 관련시설,건축,가설공사,가시설,비계,외부,10,비계,상부(위),조립작업,붕괴,깔림,조립불량,M(2),M(4),"비계 설치, 해체작업 준수",비계 설치구간에 따라 구조검토 실시 후 시공상세도면 반영
건축,건축물,자동차 관련시설,기타,기타,기타,기타,외부,999,기타,상부(위),기타,기타,기타,교통사고,M(2),M(3),주변 통행인 및 교통에 대한 교통처리방안계획 수립,시공 전 현장여건을 고려하여 신호수 배치
건축,건축물,자동차 관련시설,전기설비,전기설비공사,시설물,건물,내부,20,건물,상부(위),용접작업,화재,화재,화재예방미흡,M(2),M(5),화재예방대책 수립,용접 작업 시 화재감시인 배치
건축,건축물,자동차 관련시설,기타,기타,기타,기타,내부,999,기타,지하,기타,기타,질식,환기미실시,M(2),M(4),밀폐공간 환기실시,밀폐공간 환기량계산 실시
건축,건축물,자동차 관련시설,기타,기타,가시설,안전시설물,내부,112,안전시설물,상부(위),설치작업,없음,떨어짐(분류불능),안전난간 미설치,M(2),M(3),"구조물 단부 및 개구부에 안전난간 설치, 안전대 설치 등추락방지조치 실시",고소작업시 안전대걸이에 2인 이상 걸기 금지
건축,건축물,자동차 관련시설,건축,철근콘크리트공사,가시설,거푸집,내부,2,거푸집,지하,타설작업,붕괴,깔림,합벽지지대 미설치,M(2),M(4),합벽지지대 설치도 작성,안전난간 설치
건축,건축물,자동차 관련시설,기타,기타,기타,기타,내부,999,기타,바닥,설치작업,화재,화재,가설전기 취급 미흡,M(2),M(5),이동전선 관리방법 및 누전차단기 설치,가설전기 안전시공 및 주의사항 준수하여 시공
건축,건축물,자동차 관련시설,건축,철근콘크리트공사,건설자재,데크플레이트,내부,28,데크플레이트,상부(위),설치작업,붕괴,깔림,임의시공,M(2),M(3),접합상세도 작성,데크플레이트 안전시공절차 준수
건축,건축물,자동차 관련시설,건축,철골공사,부재,철골부재,지붕,14,철골부재,상부(위),이동,없음,떨어짐(분류불능),안전설비 미흡,M(2),M(4),철골 안전대 부착설비 착용,추락방지망 설치
건축,건축물,수련시설,건축,가설공사,가시설,비계,외부,10,비계,상부(위),설치작업,붕괴,떨어짐(10미터 이상),무너짐_시스템비계 안전성 미검토 및 조립도 미작성,H(3),H(4),시스템비계 안전성검토 및 조립도 작성,시스템비계 벽이음 상세도 작성
건축,건축물,수련시설,건축,가설공사,가시설,낙하물방지망,외부,36,낙하물방지망,상부(위),설치작업,붕괴,떨어짐(10미터 이상),무너짐_낙하물방지망 설치도면 미작성,H(3),H(4),낙하물방지망 설치도면작성,주출입구 및 안전통로 상부 방호선반 설치도면 작성
건축,건축물,수련시설,건축,가설공사,건설기계,특수건설기계,외부,239,특수건설기계,바닥,양중작업,전도,깔림,넘어짐_이동식크레인 안전성 미검토 및 받침목 미설치,M(2),H(4),이동식크레인 안전성 검토 및 받침목 설치,이동식크레인 인양능력 및 줄걸이 안전성 검토
건축,건축물,수련시설,건축,가설공사,건설기계,천공기,외부,47,천공기,바닥,천공작업,전도,깔림,넘어짐_천공기 작업계획 미작성,M(2),H(4),천공기 작업계획 작성,천공기 지내력 검토 및 아웃트리거 받침목 설치
건축,건축물,수련시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,무너짐_굴착면 기울기를 반영한 굴착계획도면 미작성,H(3),H(4),굴착면 기울기를 반영한 굴착계획도면 작성,"안전난간, 안저대 걸이시설 설치"
건축,건축물,수련시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),부설 및 다짐작업,붕괴,깔림,무너짐_되메우기 도면 미작성,M(2),H(4),되메우기 도면 작성,되메우기 현장시험계획 도면에 표기하여 반영
건축,건축물,수련시설,건축,가설공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),설치작업,붕괴,깔림,무너짐_흙막이가시설 설치 및 해체순서도 미작성,M(2),H(4),흙막이가시설 설치 및 해체순서도 작성,굴착저면 가배수로 및 집수정 설치계획 반영
건축,건축물,수련시설,건축,건축 토공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),해체작업,붕괴,떨어짐(3미터 이상 ~ 5미터 미만),무너짐_Con＇c Block 안전성 미검토,H(3),H(3),Con’c Block 안전성 검토,흙막이가시설 구간 계측기 설치 및 계측관리
건축,건축물,수련시설,건축,가설공사,가시설,흙막이가시설,외부,3,흙막이가시설,하부(아래),설치작업,붕괴,깔림,무너짐_흙막이가시설 안전성 검토 시 감소계수 및 상재하중 미반영 ,M(2),H(4),흙막이가시설 안전성 검토 시 감소계수 및 상재하중 반영 ,띠장 하부 과다굴착 방지 및 굴착 기울기 도면에 표기
건축,건축물,수련시설,건축,지정공사,부재,슬래브,외부,5,슬래브,하부(아래),확인 및 점검작업,붕괴,깔림,무너짐_기초 지반 구조안전성 미검토,M(2),H(3),기초 지반 구조안전성 검토,평판재하시험 계획 도면에 표기하여 반영
건축,건축물,수련시설,건축,철근콘크리트공사,가시설,강관동바리,외부,11,강관동바리,상부(위),설치작업,붕괴,떨어짐(3미터 이상 ~ 5미터 미만),무너짐_강관동바리 구조안전성 미검토 및 조립도 미작성,H(3),H(4),강관동바리 구조안전성 검토 및 조립도 작성,강관동바리 수평변위 방지를 위한 설치 상세도면 작성
건축,건축물,수련시설,건축,철근콘크리트공사,가시설,시스템동바리,외부,15,시스템동바리,상부(위),설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_시스템동바리 안전성 미검토 및 조립도 미작성,H(3),H(4),시스템동바리 안전성 검토 및 조립도 작성,시스템동바리 수평변위 방지를 위한 설치도면 작성
건축,건축물,수련시설,건축,철근콘크리트공사,가시설,거푸집,외부,2,거푸집,상부(위),설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_측압거푸집 안전성 미검토,H(3),H(4),측압거푸집 안전성 검토,현장조건을 반영한 콘크리트타설계획도 작성
건축,건축물,수련시설,건축,철근콘크리트공사,건설자재,데크플레이트,내부,28,데크플레이트,상부(위),확인 및 점검작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_데크플레이트 안전성 미검토 및 조립도 미작성,H(3),H(4),데크플레이트 안전성 검토 및 조립도 작성,데크플레이트 걸침길이 및 고정 상세도면 작성
건축,건축물,수련시설,건축,철근콘크리트공사,건설자재,철근,외부,24,철근,상부(위),설치작업,붕괴,깔림,무너짐_철근전도방지 미조치,H(3),H(3),조립철근 자립도 검토 및 앵커 및 기타 보강,철근 안전캡 설치 기준 수립
건축,건축물,수련시설,건축,철근콘크리트공사,가시설,거푸집,외부,2,거푸집,상부(위),설치작업,붕괴,깔림,무너짐_콘크리트 타설 집중 하중,H(3),H(3),콘크리트 타설 시 타설 속도 및 타설순서 준수,콘크리트 타설계획 작성시 장비의 규격 및 사양확인
건축,건축물,수련시설,건축,철골공사,부재,철골부재,외부,14,철골부재,상부(위),확인 및 점검작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_철골부재 구조안전성검토 미실시,H(3),H(3),철골부재 구조안전성 검토,철골 기둥 설치시 Wire Guying실시
건축,건축물,수련시설,건축,미장공사,가시설,작업발판,내부,13,작업발판,상부(위),설치작업,붕괴,떨어짐(3미터 이상 ~ 5미터 미만),무너짐_계단실 작업발판 설치도면 미작성,M(2),M(2),계단실 작업발판 설치도면 작성,작업발판내 승강설비 및 안전난간 설치 도면 작성
건축,건축물,수련시설,건축,방수공사,기타,기타,내부,999,기타,바닥,확인 및 점검작업,기타,질식,기타_환기시설 설치 상세도면 미작성,H(3),H(3),환기시설 설치도면 작성,복합가스농도 측정 및 밀폐공간 기준 도면에 표기
건축,건축물,수련시설,건축,금속공사,기타,기타,외벽,999,기타,옆,설치작업,붕괴,떨어짐(분류불능),무너짐_앙카철물 설치도면 미작성,M(2),H(3),앙카철물 설치도면 작성,앙카 성능 및 용접부 비파괴검사 계획 도면에 표기하여 반영
건축,건축물,수련시설,건축,수장공사,건설자재,천정패널,내부,100,천정패널,고소,설치작업,붕괴,물체에 맞음,무너짐_천장틀 설치도면 미작성,H(3),H(3),천장틀 설치도면 작성,현장조건을 반영한 작업발판 설치계획도 작성
건축,건축물,수련시설,건축,창호 및 유리공사,부재,벽체,외벽,103,벽체,옆,설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_창호 설치 상세도면 미작성,H(3),H(3),창호 상세도면 작성,창호 개구부 안전시설 설치 도면 작성
건축,건축물,수련시설,건축,가설공사,가시설,작업발판,내부,13,작업발판,상부(위),설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_엘리베이터 임시작업발판 설치도면 미작성,H(3),H(4),엘리베이터 임시작업발판 설치도면 작성,엘리베이터 작업발판 및 안전시설 설치도면 작성
건축,건축물,수련시설,건축,철근콘크리트공사,기타,기타,내부,999,기타,바닥,확인 및 점검작업,기타,질식,기타_용접작업에 따른 안전시설 설치 계획 미수립,H(3),H(3),용접작업에 따른 안전시설 설치 계획 수립,용접작업시 가설전기 사용에 따른 감전예방 계획 수립
건축,건축물,수련시설,건축,건축 토공사,건설기계,덤프트럭,외부,23,덤프트럭,옆,상차 및 하역작업,붕괴,깔림,무너짐_차량진출입로 교통안전 및 신호수 미조치,H(3),H(3),차량진출입로 교통안전 및 신호수 조치,교통처리계획도 작성
건축,건축물,수련시설,건축,조적공사,가시설,작업발판,내부,13,작업발판,상부(위),설치작업,전도,떨어짐(3미터 이상 ~ 5미터 미만),넘어짐_조적벽체 지지철물 설치 상세도면 미작성,M(2),M(2),조적벽체 지지철물 설치 상세도면 작성,조적벽체 개구부 구간 인방 설치 도면 작성
토목,하천,기타,토목,교량공사,기타,기타,인접주변,999,기타,하부(아래),확인 및 점검작업,충돌,기타,건설기술진흥법 안전관리비 누락,L(2),M(3),건설기술진흥법상의 안전관리비 해당 항목별 적정 계상,안전관리비 세부집행기준 작성 및 준수
토목,하천,기타,토목,토공사,토사 및 암반,굴착사면,인접주변,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,굴착사면 기울기 불량,L(2),H(4),과굴착 방지를 위한 굴착면 기울기 도면 표현,설계도서 준수 및 굴착 사면 방호조치
토목,하천,기타,토목,토공사,기타,기타,인접주변,999,기타,하부(아래),설치작업,없음,떨어짐(분류불능),안전시설 미설치,M(3),M(3),굴착 상부 안전난간대 및 하부 진출입을 위한 승강계단 설치계획 수립,설계도서 준수 및 안전시설물 사전 설치
토목,하천,기타,토목,관공사,가시설,안전시설물,인접주변,112,안전시설물,하부(아래),설치작업,없음,떨어짐(분류불능),안전시설 미설치,M(3),M(3),공사 중 안전난간 및 개구부덮개 설치 상세도 작성,안전시설물 설치 및 근로자 안전교육 실시
토목,하천,기타,토목,가설공사,건설기계,천공기,인접주변,47,천공기,옆,이동,전도,깔림,장비하부 지내력 부족,L(2),H(4),지내력 검토 결과를 반영한 천공기 안전작업 계획도 작성,이동경로 사전점검(침하방지 지내력 확보) 및 작업계획도를 포함한 작업계획서 작성
토목,하천,기타,토목,가설공사,가시설,흙막이가시설,내부,3,흙막이가시설,하부(아래),해체작업,붕괴,깔림,구조안전성 검토 미실시,L(2),H(4),지보재 해체 단계를 포함한 흙막이가시설 구조안전성 검토 실시,흙막이가시설 설치 및 해체순서 준수
토목,하천,기타,토목,가설공사,가시설,흙막이가시설,내부,3,흙막이가시설,하부(아래),설치작업,붕괴,깔림,과굴착,L(2),H(4),흙막이가시설 설치.해체 시공순서도 작성,"설치, 해체에 대한 시공 계획을 수립(시공계획서)"
토목,하천,기타,토목,가설공사,가시설,흙막이가시설,내부,3,흙막이가시설,하부(아래),설치작업,붕괴,깔림,사보강재 밀림,L(2),H(4),코너부 사보강재 구간 밀림방지 앵글을 설치하여 가시설 변형 억제,설계도서 및 시공순서 준수하여 설치
토목,하천,기타,토목,가설공사,가시설,흙막이가시설,내부,3,흙막이가시설,하부(아래),설치작업,붕괴,깔림,스티프너 미설치,L(2),H(4),어스앵커 대좌 후면 보강재 반영,설계도서 준수하여 설치
토목,하천,기타,토목,가설공사,가시설,흙막이가시설,내부,3,흙막이가시설,하부(아래),굴착작업,붕괴,깔림,배수계획 미수립,L(2),M(3),흙막이가시설 내부 우수배출을 위한 배수계획 수립,우수 유입방지 상세계획 수립
토목,하천,기타,토목,가설공사,가시설,안전시설물,인접주변,112,안전시설물,상부(위),이동,없음,떨어짐(분류불능),안전시설 미설치,M(3),M(3),가시설 상단 표준 안전난간 및 승강설비 설치계획 반영,보행자 통로 별도 구획 실시
토목,하천,기타,토목,가설공사,가시설,거푸집,인접주변,2,거푸집,옆,타설작업,붕괴,깔림,콘크리트 과다측압,M(3),M(3),구조안전성 검토 결과를 반영한 거푸집 상세도 작성,"1회 타설 높이, 속도 등 작업계획에 따른 시공"
토목,하천,기타,토목,가설공사,가시설,비계,인접주변,10,비계,하부(아래),설치작업,붕괴,떨어짐(분류불능),설치불량,M(3),M(3),구조안전성 검토 결과를 반영한 가설비계 조립도 작성,벽이음설치 상태 및 적재하중 관리
토목,하천,기타,토목,가설공사,가시설,시스템동바리,내부,15,시스템동바리,하부(아래),설치작업,붕괴,깔림,구조안전성 검토 미실시,M(3),H(4),동바리 구조안전성 검토 실시 및 상세도 작성,시공 전 상세도작성 및 구조안전성 검토 실시
토목,하천,기타,토목,교량공사,건설기계,기중기(이동식크레인 등),인접주변,202,기중기(이동식크레인 등),옆,인양작업,전도,깔림,크레인 제원 부족,M(3),H(4),중량물 무게 및 작업반경 고려한 크레인 제원 검토 결과 반영,설계도서 준수 및 중량물 취급 작업계획서 작성
토목,하천,기타,토목,교량공사,건설기계,기중기(이동식크레인 등),인접주변,202,기중기(이동식크레인 등),옆,인양작업,전도,깔림,지내력 부족,M(3),M(3),장비 하부 지내력 검토 결과를 포함한 안전작업 계획도 작성,작업 전 지반상태 확인·점검 및 필요 시 평판재하시험 등을 통한 지내력 확보
토목,하천,기타,토목,교량공사,건설자재,와이어로프,인접주변,226,와이어로프,하부(아래),인양작업,낙하,깔림,하중제한 초과 인양,L(2),H(4),"중량물을 고려한 줄걸이 도구(와이어로프, 샤클 등) 하중제한 검토 ",설계도서 준수 및 공사 중 와이어로프 상태 점검
토목,하천,기타,토목,토공사,건설기계,덤프트럭,인접주변,23,덤프트럭,뒤,이동,충돌,부딪힘,작업반경 내 접근,L(2),M(3),작업반경 구획 및 보행자 통로 확보 등의 장비운용계획을 시공계획에 반영,후방카메라 설치 등 장비 충돌 방지
토목,하천,기타,토목,가설공사,가시설,기타 가시설,인접주변,114,기타 가시설,하부(아래),확인 및 점검작업,붕괴,깔림,불량 가설자재 사용,L(2),M(3),재사용 가설자재 관리주체 설계도서 명기 가설자재 품질관리 철저,재사용 가설자재에 대한 품질관리 시험 진행
토목,하천,기타,토목,가설공사,가시설,기타 가시설,인접주변,114,기타 가시설,하부(아래),설치작업,붕괴,깔림,구조안전성 검토 미실시,L(2),M(3),사용자재 및 현장여건을 고려한 가설구조물 시공상세도 작성 및 구조안전성 검토 실시,시공 전 상세도작성 및 구조안전성 검토 실시
토목,하천,기타,토목,가설공사,가시설,안전시설물,인접주변,112,안전시설물,상부(위),고소작업,없음,떨어짐(분류불능),안전시설 미설치,L(2),M(3),추락방지망 및 안전난간 등 안전시설 사전 설치계획 수립,떨어짐 방지시설 사전 설치 및 작업계획서 작성
건축,건축물,창고시설,건축,지정공사,건설기계,항타 및 항발기,외부,204,항타 및 항발기,하부(아래),인양작업,낙하,물체에 맞음,"파일 자재 인양을 위한 적정 줄걸이 작업 계획 미수립, 작업계획 미준수",H(4),H(4),"파일 설계시 파일시공 깊이에 따른 파일 자재 중량 검토, 중량에 따른 적정한 와이어로프, 샤클 등 줄걸이 작업계획 수립",줄걸이 작업계획을 준수하고 와이어로프 폐기기준에 따른 작업전 검사 실시하여 부적격 자재의 교체
건축,건축물,창고시설,건축,지정공사,건설기계,항타 및 항발기,외부,204,항타 및 항발기,하부(아래),항타 및 항발작업,없음,물체에 맞음,파일 리바운드 체크 시 안전시설물 미흡으로 인한 항타기 하부 근로자의 토사 맞음 ,M(3),M(3),항타기 하부 안전시설물 계획하여 근로자 보호,"센서를 활용한 리받운드 체크할 수 있는 공법 선정, 적용"
건축,건축물,창고시설,건축,지정공사,건설기계,항타 및 항발기,외부,204,항타 및 항발기,하부(아래),항타 및 항발작업,낙하,물체에 맞음,기초 이음길이 증가에 따른 하중증가로 파손 및 낙하 위힘성 증가,M(3),H(4),기초 지지력 재산정을 통한 기초 공법 변경 수량 증가,본작업 전 테스트 파일실시하여 실제 지내력 확인 
건축,건축물,창고시설,건축,지정공사,건설기계,항타 및 항발기,외부,204,항타 및 항발기,하부(아래),항타 및 항발작업,없음,찔림,파일 두부정리 후 파일 강선 단부노출로 인한 찔림 위험성 증가,M(2),M(2),파일캡 적용을 통한 파일 강선 노출 최소화,파일 두부 정리 후  
건축,건축물,창고시설,건축,철근콘크리트공사,건설기계,콘크리트펌프,외부,203,콘크리트펌프,바닥,타설작업,전도,깔림,"펌프카 위치 지반안전성검토 미흡, 타설계획 수립 미흡",H(4),H(4),펌프카 세팅 위치 지내력 확보,"타설위치를 고려한 타설계획 수립, 펌프카 아웃트 리거 설치 철저, 지반의 지내력 확보"
건축,건축물,창고시설,건축,철골공사,시설물,건물,외부,20,건물,고소,설치작업,붕괴,깔림,철골부재 설치시 가조릴 불량에 의한 구조물 전도,H(4),H(4),"철골부재 가조립 순서, 가조립 시방 명기",철골기둥 부재설치시 보와의 연결까지 실시하고 부득이한 경우는 와이어 로프로 4방향 당겨서 전도 방지
건축,건축물,창고시설,건축,철골공사,시설물,건물,외부,20,건물,상부(위),설치작업,없음,떨어짐(3미터 이상 ~ 5미터 미만),철골 부재 설치를 위한 고소작업시 안전시설물 미흡으로 인한 근로자 추락,H(4),H(3),"설계단계에서 안전시설물 설치를 위한 디데일 반영, 추락방지망 설계","철골작업전 추락방지망, 상하 이동 시설, 안전대 부착시설 등의 설치"
건축,건축물,창고시설,건축,철골공사,시설물,건물,외부,20,건물,상부(위),설치작업,없음,떨어짐(3미터 이상 ~ 5미터 미만),철골 부재 설치를 위한 고소작업시 안전시설물 미흡으로 인한 근로자 추락,H(4),M(3),"설계단계에서 안전시설물 설치를 위한 디데일 반영, 추락방지망 설계","철골작업전 추락방지망, 상하 이동 시설, 안전대 부착시설 등의 설치"
건축,건축물,창고시설,건축,철골공사,시설물,건물,외부,20,건물,상부(위),설치작업,없음,떨어짐(2미터 미만),안전난간대 설계 누락으로 인한 근로자의 추락 위험,H(4),M(3),철골계단 안전난간대 설치하여 추락 위험 예방,"철골 계단 설치와 동시에 안전난간대 설치, 단부 추락 위험 표지판 설치"
건축,건축물,창고시설,건축,철골공사,시설물,건물,외부,20,건물,상부(위),설치작업,탈락,떨어짐(3미터 이상 ~ 5미터 미만),"스틸그레이팅 고정, 설치를 미고려한 설계",L(2),L(2),철골 플렌지 상부에 스틸그레이팅 설치시 고정을 위한 앵글 설계 반영,"스틸 그레이팅 설치 계획에 근거한 사이즈 반입, 배관 오픈부위 반영하여 제작"
건축,건축물,창고시설,건축,철골공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),바닥,설치작업,전도,깔림,"인양부재의 중량, 작업거리를 반영한 작업계획 수립 미흡",H(4),H(4),"작업구간 주변 지내력 설게 반영, 인양가능한 부재 size  설계","이동식 크레인 작업계획 수립, 인양물 중량, 작업반경을 반영한 줄걸이 선정, 크레인 아웃리거 설치 철저"
건축,건축물,창고시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),매설작업,붕괴,깔림,터파기 휴식각을 고려하지 않은 무리한 굴착으로 인한 굴착면 붕괴,H(4),H(4),굴착깊이가 2m 이상인 작업공간에는 흙막이 벽체 설계 ,흙막이 벽체 및 흙막이 가시설 공법 적용하여 굴착면 붕괴 방지
건축,건축물,창고시설,건축,건축 토공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),하부(아래),설치작업,낙하,깔림,우수관로 등 매립 배관의 인양시 줄걸이 작업계획 수립 미흡,M(3),H(4),토목배관 설치시 중량물 인양을 위한 줄걸이 작업계획 설계반영,"인양물 주변 지반 지내력 확인, 줄걸이 폐기기준을 고려한 사전 점검 실시, 장비 양중능력, 작업범위 확인"
건축,건축물,창고시설,기계설비,기계설비공사,건설자재,자재,외부,139,자재,상부(위),설치작업,낙하,깔림,파이프랙 상부 작업 적재 계획 미흡,M(3),H(4),"배관 양중, 설치가 가능한 사이즈로 파이프랙 설계","배관 자재 적재를 위한 적재계획, 고정계획 수립, 반영"
건축,건축물,창고시설,기계설비,기계설비공사,시설물,건물,외부,20,건물,상부(위),용접작업,화재,화재,용접작업 주변 불꽃 비산으로 화재,M(3),H(4),용접 이음 외 기계적 배관 이음 공법 적용검토,"용접작업 구간 주변 접근 금지, 인화성 물질 제거, 불꽃비산 방지망 설치등 화재 위험 요소 제거"
건축,건축물,창고시설,기계설비,기계설비공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),상부(위),설치작업,낙하,깔림,파이프 양중을 위한 중량물 작업게획 수립 미흡,M(3),M(3),파이프 배치 고려한 설게 수립,"배관양중시 무게중심을 고려한 2줄걸이 작업, 줄걸이 작업계획 수립"
건축,건축물,창고시설,기계설비,기계설비공사,시설물,건물,외부,16,옹벽,상부(위),설치작업,낙하,깔림,배관이동시 무리한 이동으로 인한 자재 낙하,M(3),M(3),파이프랙 상부 배관이동을 고려한 설계 반영,"배관이동용 롤러를 적용하여 무리한 하중 금지, 근로자 추락 방지"
건축,건축물,창고시설,기계설비,기계설비공사,건설기계,기중기(이동식크레인 등),외부,202,기중기(이동식크레인 등),상부(위),설치작업,전도,깔림,이동식 크레인 양중작업 계획 미수질,H(4),H(4),"작업구간 주변 지내력 설게 반영, 인양가능한 부재 size  설계","이동식 크레인 작업계획 수립, 인양물 중량, 작업반경을 반영한 줄걸이 선정, 크레인 아웃리거 설치 철저"
건축,건축물,창고시설,전기설비,전기설비공사,시설물,건물,내부,20,건물,상부(위),전기작업,화재,화재,"케이블 단말 작업시 감전, 화재",H(4),H(4),케이블 단말 작업을 고려한 설계,단말작업시 주 전원을 차단한 상태로 작업 실시
건축,건축물,창고시설,전기설비,전기설비공사,시설물,건물,내부,20,건물,상부(위),설치작업,없음,떨어짐(3미터 이상 ~ 5미터 미만),안전대 부착시설 미흡으로 인한 근로자 추락,H(3),H(4),고소작업 구간 안전대 걸이시설 설계 반영,"고소작업시 안전대 부착시설, 안전대 설치, 적정 작업발판 설치"
건축,건축물,창고시설,건축,지정공사,건설자재,자재,외부,139,자재,바닥,운반작업,전도,깔림,파일자재의 부적합한 적재로 인한 붕괴,M(3),H(4),중량물 적재 기준 설계 반영,"바닥이 평탄하고 지내력이 확보된 야적장 확보, 2단 이상 적재 금지"
